jp,en,kr
【第六章】 さるかに合戦 後,[Chapter 6] The Monkey and the Crab II,【제6장】 원숭이와 게의 싸움 후
【第弐章】 神代文字を学ぶ 壱,[Chapter 2] Learning Eldscript I,【제2장】 신대 문자를 배우다 1
【最終章】 帝の世直し旅 後編 後,[Final Chapter] The Mikado's Quest to Restore the Kingdom III - 2,【최종장】 황제의 세상 바로잡기 여행 후편 후
【第六章】 蠢動 ［モノローグ］,[Chapter 6] Maneuvering [Monologue],【제6장】 충동 [모노로그]
【第四章】 立ち込める暗雲 ［モノローグ］,[Chapter 4] Gathering Stormclouds [Monologue],【제4장】 드리우는 먹구름 [모노로그]
【第拾弐章】 狙撃手達 後,[Chapter 12] The Snipers II,【제12장】 저격수들 후
【最終章】 婦女子、心の旅 後,[Final Chapter] The Journey of a Woman's Heart II,"【최종장】 여인들, 마음의 여행 후"
地獄からの使者 前,Messenger from Denebokshiri I,지옥에서 온 사자 전
【第拾四章】 禁断の力 後-3,[Chapter 14] Forbidden Power III - 3,【제14장】 금단의 힘 후-3
【第拾弐章】 母よ,[Chapter 12] Mother,【제12장】 어머니여
【第九章】 ムネチカの武者修行 中編 後,[Chapter 9] Munechika's Training Journey II - 2,【제9장】 무네치카의 무자수행 중편 후
【第拾弐章】 豪敵、再び 前,[Chapter 12] Return of a Fierce Adversary I,"【제12장】 강적, 다시 전"
【第拾弐章】 豪雄激突 後-2 ［ビジュアルシネマ］,[Chapter 12] Clash of Titans III - 2 [Cinematic],【제12장】 호걸 격돌 후-2 [비주얼 시네마]
【第拾章】 亡國の皇子,[Chapter 10] Prince of a Fallen Nation,【제10장】 망국의 황자
【第弐章】 偽物の皇女 ［モノローグ］,[Chapter 2] The False Princess [Monologue],【제2장】 가짜 황녀 [모노로그]
【第九章】 背水の陣 後-1,[Chapter 9] No Way Out II - 1,【제9장】 배수의 진 후-1
【第伍章】 ミカヅチの追憶,[Chapter 5] Mikazuchi's Reminiscence,【제5장】 미카즈치의 추억
【第六章】 虜囚のムネチカ,[Chapter 6] Munechika the Captive,【제6장】 포로가 된 무네치카
【最終章】 神話の始まり 後-3 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 3 [Cinematic],【최종장】 신화의 시작 후-3 [비주얼 시네마]
【第六章】 アンジュ出陣 後,[Chapter 6] Anju Goes Into Battle III,【제6장】 안쥬 출진 후
【最終章】 その日を信じて ［ビジュアルシネマ］,[Final Chapter] Believe in that Day [Cinematic],【최종장】 그날을 믿으며 [비주얼 시네마]
【最終章】 スタッフロール,[Final Chapter] Ending Credits,【최종장】 스태프 롤
【第拾参章】 決戦の帝都 中-2,[Chapter 13] Imperial Capital Showdown II - 2,【제13장】 결전의 제도 중-2
【第壱章】 視察,[Chapter 1] Observation,【제1장】 시찰
【第参章】 復活のアンジュ,[Chapter 3] Anju Anew,【제3장】 부활의 안쥬
【第拾伍章】 人を継ぐ者 後-1,[Chapter 15] Heir to Humanity III - 1,【제15장】 사람을 잇는 자 후-1
天火の采配師 前,Tactician of Heavenly Fire I,천화의 지휘자 전
【最終章】 神話の始まり 後-8 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 8 [Cinematic],【최종장】 신화의 시작 후-8 [비주얼 시네마]
【第壱章】 戻れぬ想い 後,[Chapter 1] Irretrievable Memories III,【제1장】 돌아갈 수 없는 마음 후
【第伍章】 亡國の縁 前,[Chapter 5] Fate of a Fallen Nation I,【제5장】 망국의 인연 전
【第七章】 シスの絡み酒,[Chapter 7] Shis' Tipsy Tangent,【제7장】 시스의 술주정
【第拾伍章】 兄として,[Chapter 15] As a Brother,【제15장】 형으로서
【最終章】 神話の始まり 後-7,[Final Chapter] The Beginning of a Myth II - 7,【최종장】 신화의 시작 후-7
【第伍章】 妹として……,[Chapter 5] As a Sister,【제5장】 여동생으로서……
【第拾六章】 浄化の光 中,[Chapter 16] The Purifying Light II,【제16장】 정화의 빛 중
【第壱章】 運命の出撃,[Chapter 1] Fated Deployment,【제1장】 운명의 출격
【第六章】 アンジュ出陣 前,[Chapter 6] Anju Goes Into Battle I,【제6장】 안쥬 출진 전
地獄からの使者 後,Messenger from Denebokshiri II,지옥에서 온 사자 후
【第拾伍章】 溢れ出る災厄,[Chapter 15] Calamity Unleashed,【제15장】 넘쳐흐르는 재앙
【第伍章】 奏上の時,[Chapter 5] Time of Request,【제5장】 주상할 때
【第拾七章】 砕かれた真実 前,[Chapter 17] Shattered Truth I,【제17장】 부서진 진실 전
【第拾伍章】 皇女の素顔,[Chapter 15] The Princess' True Face,【제15장】 황녀의 민낯
【第六章】 過剰な奉仕,[Chapter 6] Excessive Devotion,【제6장】 과한 봉사
【第拾伍章】 大海嘯,[Chapter 15] The Great Wave,【제15장】 대해일
【第拾章】 シャッホロの参戦 ［モノローグ］,[Chapter 10] Shyahoro Joins the Fray [Monologue],【제10장】 샷호로의 참전 [모노로그]
【第四章】 対なるもの 中-1 ［ビジュアルシネマ］,[Chapter 4] Mirror Opposites II - 1 [Cinematic],【제4장】 한쌍인 것 중-1 [비주얼 시네마]
【第拾章】 強襲 前,[Chapter 10] Assault I,【제10장】 강습 전
【第拾六章】 目覚めの地にて ［モノローグ］,[Chapter 16] In the Land of Awakening [Monologue],【제16장】 깨어남의 땅에서 [모노로그]
【第六章】 指圧の心,[Chapter 6] The Art of Acupressure,【제6장】 지압의 마음
【第六章】 アトゥイのやり方,[Chapter 6] Atuy's Way,【제6장】 아투이식 방법
【第拾伍章】 追跡 ［モノローグ］,[Chapter 15] Pursuit [Monologue],【제15장】 추적 [모노로그]
【第四章】 神代文字を学ぶ 弐,[Chapter 4] Learning Eldscript II,【제4장】 신대 문자를 배우다 2
【第壱章】 回復は遠く,[Chapter 1] Recovery is Far Off,【제1장】 회복은 멀고
【第拾六章】 浄化の光 前,[Chapter 16] The Purifying Light I,【제16장】 정화의 빛 전
【第七章】 真説・オオオカ裁き,[Chapter 7] A True Tale: The Oooka's Judgement,【제7장】 진설·오오오카 재판
【第七章】 女の武器とは,[Chapter 7] A Woman's Weapon,【제7장】 여자의 무기란
【第拾伍章】 宝物庫の二人,[Chapter 15] The Treasure Vault Twosome,【제15장】 보물창고의 두 사람
【第壱章】 近衛衆合流 後-1,[Chapter 1] Combining Forces III - 1,【제1장】 근위대 합류 후-1
【第六章】 ルモイの関 ［モノローグ］,[Chapter 6] Rumoy Pass [Monologue],【제6장】 루모이 관문 [모노로그]
【第九章】 新たな門出 ［モノローグ］,[Chapter 9] Off on a New Journey [Monologue],【제9장】 새로운 출발 [모노로그]
【第七章】 クジュウリとの同盟 ［モノローグ］,[Chapter 7] Alliance with Kujyuri [Monologue],【제7장】 쿠쥬우리와의 동맹 [모노로그]
【第拾八章】 最後の解放 後-2,[Chapter 18] Final Release III - 2,【제18장】 마지막 해방 후-2
【第拾章】 風呂にかける情熱 参,[Chapter 10] Bathhouse Passion II,【제10장】 목욕에 거는 열정 3
【第拾伍章】 大いなる父,[Chapter 15] Onvitaikayan,【제15장】 위대한 아버지
【第拾七章】 深淵より来る声 後-2,[Chapter 17] Voice from the Abyss II - 2,【제17장】 심연에서 들려오는 목소리 후-2
【第拾壱章】 妄執の炎 前-2 ［モノローグ］,[Chapter 11] Flames of Delusion I - 2 [Monologue],【제11장】 망집의 불꽃 전-2 [모노로그]
修羅の大弓 前,Savage Greatbow I,수라의 대궁 전
【第六章】 薬師と双子,[Chapter 6] The Apothecary and the Twins,【제6장】 약사와 쌍둥이
【第拾八章】 最後の解放-3,[Chapter 18] Final Release - 3,【제18장】 마지막 해방-3
【第拾伍章】 人を継ぐ者 中,[Chapter 15] Heir to Humanity II,【제15장】 사람을 잇는 자 중
【第壱章】 義賊の矜持 前,[Chapter 1] Pride of a Gentleman Thief I,【제1장】 의적의 긍지 전
【第拾八章】 最後の解放 後-3 ［ビジュアルシネマ］,[Chapter 18] Final Release III - 3 [Cinematic],【제18장】 마지막 해방 후-3 [비주얼 시네마]
【第四章】 対なるもの 中-3 ［ビジュアルシネマ］,[Chapter 4] Mirror Opposites II - 3 [Cinematic],【제4장】 한쌍인 것 중-3 [비주얼 시네마]
【第壱章】 ヴライ、再び,[Chapter 1] The Return of Vurai,"【제1장】 브라이, 다시"
【最終章】 夢の終わりで待つもの ［ビジュアルシネマ］,[Final Chapter] What Awaits at the End of a Dream [Cinematic],【최종장】 꿈의 끝에서 기다리는 것 [비주얼 시네마]
【第拾参章】 決戦の帝都 後-2 ［モノローグ］,[Chapter 13] Imperial Capital Showdown III - 2 [Monologue],【제13장】 결전의 제도 후-2 [모노로그]
託されしもの 後 ［ビジュアルシネマ］,What Was Entrusted III [Cinematic],맡겨진 것 후 [비주얼 시네마]
夢で逢えたら 後,If We Meet in a Dream II,꿈에서 만날 수 있다면 후
【第七章】 ココポのお気に入り,[Chapter 7] Cocopo's Favorite,【제7장】 코코포의 최애
【第弐章】 狩り日和 壱,[Chapter 2] A Fine Day for Hunting I,【제2장】 사냥하기 좋은 날 1
【第伍章】 戦の傷跡,[Chapter 5] The Scars of War,【제5장】 전쟁의 상처
【第拾弐章】 狙撃手達 前,[Chapter 12] The Snipers I,【제12장】 저격수들 전
【第拾伍章】 地下の聖域,[Chapter 15] Underground Sanctuary,【제15장】 지하 성역
【第拾参章】 マロロ死す,[Chapter 13] The Death of Maroro,【제13장】 마로로 죽다
【第壱章】 覚悟の在処 ネコネ,[Chapter 1] Where Resolve Lies: Nekone,【제1장】 각오의 자리 네코네
【第伍章】 皇女二人,[Chapter 5] Two Princesses,【제5장】 두 황녀
【最終章】 神話の始まり 前-2,[Final Chapter] The Beginning of a Myth I - 2,【최종장】 신화의 시작 전-2
【第拾伍章】 密命,[Chapter 15] Secret Orders,【제15장】 밀명
【最終章】 神話の始まり 後-6 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 6 [Cinematic],【최종장】 신화의 시작 후-6 [비주얼 시네마]
【第拾六章】 浄化の光 後,[Chapter 16] The Purifying Light III,【제16장】 정화의 빛 후
【第拾壱章】 母よ 後,[Chapter 11] Mother III,【제11장】 어머니여 후
【第拾章】 隠し砦 ［モノローグ］,[Chapter 10] Hidden Fortress [Monologue],【제10장】 숨겨진 요새 [모노로그]
【第拾四章】 禁断の力 中,[Chapter 14] Forbidden Power II,【제14장】 금단의 힘 중
【第壱章】 鉄扇と共に,[Chapter 1] Metal Fan in Hand,【제1장】 철선과 함께
黒き皇女 後,The Dark Princess II,검은 황녀 후
とらのあな,Tiger's Den,토라노아나
【第四章】 対なるもの 中-2,[Chapter 4] Mirror Opposites II - 2,【제4장】 한쌍인 것 중-2
【第九章】 トキフサの陰謀,[Chapter 9] Tokifusa's Plot,【제9장】 토키후사의 음모
【第九章】 ノスリの故郷 ［モノローグ］,[Chapter 9] Nosuri's Hometown [Monologue],【제9장】 노스리의 고향 [모노로그]
【最終章】 神話の始まり 後-1 ［モノローグ］,[Final Chapter] The Beginning of a Myth II - 1 [Monologue],【최종장】 신화의 시작 후-1 [모노로그]
【第拾七章】 深淵より来る声 前-1,[Chapter 17] Voice from the Abyss I - 1,【제17장】 심연에서 들려오는 목소리 전-1
【第参章】 回復祝い 後,[Chapter 3] Recovery Celebration II,【제3장】 회복 축하 후
【第壱章】 想起す ［ビジュアルシネマ］,[Chapter 1] Remembering [Cinematic],【제1장】 떠올리다 [비주얼 시네마]
【第四章】 寡兵の苦しみ,[Chapter 4] The Struggle of the Few,【제4장】 소수 병력의 고통
【第拾弐章】 滅びの予兆,[Chapter 12] Omen of Ruin,【제12장】 멸망의 전조
【最終章】 神話の始まり 後-2 ［ビジュアルシネマ］,[Final Chapter] The Beginning of a Myth II - 2 [Cinematic],【최종장】 신화의 시작 후-2 [비주얼 시네마]
【第拾参章】 決戦の帝都 後-1,[Chapter 13] Imperial Capital Showdown III - 1,【제13장】 결전의 제도 후-1
【第拾章】 ナコクへ ［モノローグ］,[Chapter 10] To Nakoku [Monologue],"【제10장】 나코쿠로 [모노로그]
"
【第拾章】 狩り日和 弐,[Chapter 10] A Fine Day for Hunting II,【제10장】 사냥하기 좋은 날 2
【第参章】 回復祝い 前,[Chapter 3] Recovery Celebration I,【제3장】 회복 축하 전
【第四章】 ノスリの教練,[Chapter 4] Nosuri's Drill,【제4장】 노스리의 조련
【第八章】 復讐の戦鬼 ［モノローグ］,[Chapter 8] Revenge of the Demon on the Battlefield [Monologue],【제8장】 복수의 전귀 [모노로그]
【第七章】 ムネチカの可愛いもの,[Chapter 7] Munechika's Cutie,【제7장】 무네치카의 귀여운 것
【第拾七章】 深淵より来る声 後-1,[Chapter 17] Voice from the Abyss II - 1,【제17장】 심연에서 들려오는 목소리 후-1
【第拾壱章】 妄執の炎 後-1,[Chapter 11] Flames of Delusion III - 1,【제11장】 망집의 불꽃 후-1
【第壱章】 覚悟の在処 ルルティエ,[Chapter 1] Where Resolve Lies: Rulutieh,【제1장】 각오가 있는 곳 루루티에
【第四章】 対なるもの 前-1,[Chapter 4] Mirror Opposites I - 1,【제4장】 한 쌍이 되는 것 전-1
【第四章】 ヤクトワルトの昔話,[Chapter 4] Jachdwalt's Old Tale,【제4장】 야쿠토와루토의 옛이야기
夢で逢えたら 前,If We Meet in a Dream I,꿈에서 만날 수 있다면 전
託されしもの 前 ［ビジュアルシネマ］,What Was Entrusted I [Cinematic],맡겨진 것 전 [비주얼 시네마]
【第拾七章】 願いの果て-1,[Chapter 17] End of a Wish - 1,【제17장】 소원의 끝-1
【第拾伍章】 人を継ぐ者 後-2,[Chapter 15] Heir to Humanity III - 2,【제15장】 사람을 잇는 자 후-2
コピー元シート,,コピー元シート
値変化：致命攻撃[背面]強化倍率%,値変化：致命攻撃[背面]強化倍率%,値変化：致命攻撃[背面]強化倍率%
グレキママゥ_1,グレキママゥ_1,グレキママゥ_1
adv_obj26_槍（手に持つ用）,adv_obj26_槍（手に持つ用）,adv_obj26_槍（手に持つ用）
特殊撃破,特殊撃破,特殊撃破
[全員]値変化：時間自動回復（高速）：体力：%,[全員]値変化：時間自動回復（高速）：体力：%,[全員]値変化：時間自動回復（高速）：体力：%
ノスリ一派_1,ノスリ一派_1,ノスリ一派_1
adv_obj41_武器ネコネ,adv_obj41_武器ネコネ,adv_obj41_武器ネコネ
クジュウリ騎兵_1,クジュウリ騎兵_1,クジュウリ騎兵_1
ヘイトオフセット,ヘイトオフセット,ヘイトオフセット
モズヌ,モズヌ,モズヌ
デバフ効果時間倍率,デバフ効果時間倍率,デバフ効果時間倍率
オルケ_1,オルケ_1,オルケ_1
与ダメージ倍率(特殊),与ダメージ倍率(特殊),与ダメージ倍率(特殊)
イズルハ兵_2,イズルハ兵_2,イズルハ兵_2
ダメージ吸収：体力：%,ダメージ吸収：体力：%,ダメージ吸収：体力：%
